Pays;Population;Armes a feu civiles par 100 habitants;Morts par arme a feu par 100 000 habitants;Annee d'acquisition des donnees
Etats-Unis;318563456;101,05;10,54;2014
Canada;34382780;25,33;2,05;2011
France;63179356;31,2;3,32;2005
Royaume-Uni;62766365;3,78;0,22;2010
Irlande;4598294;3,89;0,96;2013
Islande;311566;30,3;1,99;2007
Norvege;4953088;27,29;2,87;2011
Australie;22728254;13,67;1,03;2012
Suisse;7437115;45,7;4,01;2005
Allemagne;80645605;31,3;1,14;2013
Danemark;5461438;12;1,19;2007
Singapour;4588599;0,5;0,4;2007
Pays-bas;16381696;3,9;0,55;2007
Croatie;4436000;21,7;3,25;2007
Nouvelle-Zelande;4302600;28,48;1,6;2009
Suede;9449213;20,83;1,42;2011
Hongrie;10055780;5,5;0,87;2007
Japon;128001000;0,6;0,03;2007
Coree du sud;48683638;1,1;0,06;2007
Israel;6930100;7,3;2,6;2005
Luxembourg;479993;15,3;2,9;2007
Belgique;10895586;8,18;1,81;2010
Finlande;5413971;29;2,9;2012
Autriche;8295487;30,4;2,51;2007
Slovenie;2018122;13,5;2,69;2007
Italie;58438310;11,9;1,34;2007
Espagne;45226803;10,4;0,59;2007
Republique Tcheque;10514272;8,33;1,96;2013
Grece;11048473;22,5;1,54;2007
Chypre;1063712;36,4;1,05;2007
Estonie;1340680;9,2;1,82;2007
Portugal;10542964;24,22;1,48;2007
Slovaquie;5374622;8,3;1,52;2007
Taiwan;22858870;4,4;3,8;2007
Chine;1318000000;4,9;1,2;2007
Russie;142805088;8,9;4,48;2007
Barbade;276150;3,5;2,4;2007
Turquie;69597281;12,5;1,61;2007
Pologne;38011735;1,49;0,24;2014
Inde;1180000000;3,36;0,68;2007
Malte;406724;11,9;1,99;2007
Roumanie;20882982;0,7;0,16;2007
Ukraine;46509350;6,6;0,17;2007
Algerie;34300076;7,6;0,04;2007
Argentine;42096739;8,8;5,73;2012
Chili;16829442;12,05;2,49;2009
Afrique-du-sud;48883845;6,61;6,71;2007
